Waf: Entering directory `/home/naibaoofficial/projects/bake/source/ns-3.29/build'
[2710/2769] Compiling scratch/scenario/nodehelper.cc
[2736/2769] Linking build/scratch/scenario/scenario
Waf: Leaving directory `/home/naibaoofficial/projects/bake/source/ns-3.29/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (19.233s)
Start!
Setting Route Protocol: AODV for adhoc
Setting UAVs Topo for AP & Adhoc
23.2197 6 received one packet from 172.16.1.9
23.2301 6 received one packet from 172.16.1.9
23.2396 8 received one packet from 172.16.1.11
23.2399 6 received one packet from 172.16.1.9
23.2481 6 received one packet from 172.16.1.9
23.2511 8 received one packet from 172.16.1.11
23.2588 8 received one packet from 172.16.1.11
23.2685 6 received one packet from 172.16.1.9
23.2747 8 received one packet from 172.16.1.11
23.2763 6 received one packet from 172.16.1.9
23.2902 8 received one packet from 172.16.1.11
23.2965 6 received one packet from 172.16.1.9
23.3065 8 received one packet from 172.16.1.11
23.3177 6 received one packet from 172.16.1.9
23.3297 6 received one packet from 172.16.1.9
23.3413 8 received one packet from 172.16.1.11
23.343 6 received one packet from 172.16.1.9
23.3502 8 received one packet from 172.16.1.11
23.3692 6 received one packet from 172.16.1.9
23.3696 8 received one packet from 172.16.1.11
23.3842 8 received one packet from 172.16.1.11
23.3845 6 received one packet from 172.16.1.9
23.3954 8 received one packet from 172.16.1.11
23.3962 6 received one packet from 172.16.1.9
23.4121 6 received one packet from 172.16.1.9
23.4186 8 received one packet from 172.16.1.11
23.4234 6 received one packet from 172.16.1.9
23.4588 8 received one packet from 172.16.1.11
23.4687 6 received one packet from 172.16.1.9
23.478 6 received one packet from 172.16.1.9
23.4849 8 received one packet from 172.16.1.11
23.511 6 received one packet from 172.16.1.9
23.5187 8 received one packet from 172.16.1.11
23.5217 6 received one packet from 172.16.1.9
23.5438 8 received one packet from 172.16.1.11
23.5498 6 received one packet from 172.16.1.9
23.5686 8 received one packet from 172.16.1.11
23.5788 6 received one packet from 172.16.1.9
23.5867 8 received one packet from 172.16.1.11
23.6011 6 received one packet from 172.16.1.9
23.6089 8 received one packet from 172.16.1.11
23.6277 8 received one packet from 172.16.1.11
23.6429 6 received one packet from 172.16.1.9
23.6502 8 received one packet from 172.16.1.11
23.6536 6 received one packet from 172.16.1.9
23.6683 6 received one packet from 172.16.1.9
23.6767 6 received one packet from 172.16.1.9
23.6843 8 received one packet from 172.16.1.11
23.7034 8 received one packet from 172.16.1.11
23.7111 6 received one packet from 172.16.1.9
23.7217 8 received one packet from 172.16.1.11
23.7415 6 received one packet from 172.16.1.9
23.7452 8 received one packet from 172.16.1.11
23.7671 6 received one packet from 172.16.1.9
23.7684 8 received one packet from 172.16.1.11
23.7876 6 received one packet from 172.16.1.9
23.7935 8 received one packet from 172.16.1.11
23.8004 8 received one packet from 172.16.1.11
23.8091 6 received one packet from 172.16.1.9
23.8158 8 received one packet from 172.16.1.11
23.8235 6 received one packet from 172.16.1.9
23.8475 8 received one packet from 172.16.1.11
23.8488 6 received one packet from 172.16.1.9
23.8611 6 received one packet from 172.16.1.9
23.8752 8 received one packet from 172.16.1.11
23.8798 6 received one packet from 172.16.1.9
23.8931 6 received one packet from 172.16.1.9
23.9004 8 received one packet from 172.16.1.11
23.926 8 received one packet from 172.16.1.11
23.9345 6 received one packet from 172.16.1.9
23.9608 8 received one packet from 172.16.1.11
23.9684 6 received one packet from 172.16.1.9
23.9785 8 received one packet from 172.16.1.11
23.9943 8 received one packet from 172.16.1.11
23.9991 6 received one packet from 172.16.1.9
24.0059 6 received one packet from 172.16.1.9
24.0082 8 received one packet from 172.16.1.11
24.0357 6 received one packet from 172.16.1.9
24.0495 8 received one packet from 172.16.1.11
24.0661 6 received one packet from 172.16.1.9
24.0874 8 received one packet from 172.16.1.11
24.0907 6 received one packet from 172.16.1.9
24.0982 8 received one packet from 172.16.1.11
24.1074 8 received one packet from 172.16.1.11
24.1158 8 received one packet from 172.16.1.11
24.1212 8 received one packet from 172.16.1.11
